IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
Annex_I,OECD_Europe,IRL,Ireland,1.B.1,Solid Fuels,CO2,fossil,278.2535159,346.9321745,241.4367324,285.8180416,296.6582547,332.3035153,338.3667102,316.9325418,258.078914,270.534429,269.8274981,218.3204614,207.9002403,224.9565817,321.4934966,398.0881231,348.7066045,131.1539636,96.20517611,90.73455562,102.3223378,101.1135901,82.22915116,175.4823449,116.5973625,86.10215306,67.39214055,56.7464396,69.04753935,83.42028045,65.8221416,89.7225122,61.85224025,91.449953,40.49530675,56.2304648,57.97337955,55.7655276,54.4630081,63.5571198,62.1338015,50.12106885,51.3221615,62.54453195,54.0977554,38.5336136,47.8327161,44.29517165,38.12136245
Annex_I,OECD_Europe,IRL,Ireland,1.B.2,Oil and Natural Gas,CO2,fossil,0.002617565,0.002600933,0.002440333,0.002379932,0.002438144,0.002465875,0.001941022,0.002246765,0.002409707,0.002390779,0.002162425,0.000775998,0.000528016,0.001326119,0.001352543,0.00144408,0.001526646,0.001453944,0.001392317,0.001585584,0.001794479,0.001662046,0.001857828,0.001812808,0.001962585,0.002001081,0.001973433,0.002488556,0.002636946,0.002415744,0.00273472,0.003290021,0.003253942,0.003162763,0.002769181,0.003292438,0.00312299,0.002826981,0.00298177,0.002479891,0.002586694,0.002691333,0.002647075,0.002647279,0.002511914,0.00322803,0.002885048,0.002778018,0.002945629
Annex_I,OECD_Europe,IRL,Ireland,2.A.1,Cement production,CO2,fossil,428.792,747.45,729.12,780.29,831.66,778.44,785,791.58,908.62,1036.18,912.24,979.7,819.72,755.43,701.04,743.14,637.5,740.95,865.28,831.06,837.82,740.8,713.6,689.6,813.75,832.5,932.19,1085.7,1004,1104.09,1616.54,1759.5,1776.2,2064.37,2228,2286,2285.82,2310,2024.99,1268.4,1068.171,937.938,1138.1,1074,1533.4,1871.44,1702.985,1739.588301,1826.527076
Annex_I,OECD_Europe,IRL,Ireland,2.A.2,Lime production,CO2,fossil,44.25,40.8,48.975,57.15,59.175,58.5,51.675,59.85,68.7,54.45,57.825,34.725,34.725,44.25,51,63.3,66,57.825,72.825,83.7,191.4165,173.605125,161.7735,182.259375,185.24025,167.622375,180.10125,189.772125,192.07425,154.94175,186.225,75,,,,,,,,165,165,225,225,217.5,202.5,195,187.5,225,225
Annex_I,OECD_Europe,IRL,Ireland,2.A.3,Glass Production,CO2,fossil,7.919593415,7.991785464,8.081478986,8.184316418,8.294245736,8.406086726,8.518441335,8.630166183,8.736784386,8.83320172,8.91561502,8.983122844,9.035844418,9.072381891,9.091614968,9.093564916,9.077593335,9.04624379,9.007132763,8.970265861,8.9432,8.939,8.8564,8.9334,8.9586,8.9194,8.8788,8.9306,8.8704,8.9292,8.9236,8.7864,4.4744,0.2254,0.2422,0.2002,0.1974,0.182,0.1232,0.0084,,,,,,,,,
Annex_I,OECD_Europe,IRL,Ireland,2.A.4,Other Process Uses of Carbonates,CO2,fossil,0.148418,0.148418,0.148418,0.148418,0.148418,0.148418,0.148418,0.148417,0.148419,0.148415,0.148422,0.148408,0.148436,0.148381,0.148492,0.14827,0.148716,0.147834,0.149635,0.146199,0.348690397,0.312748495,0.272669017,0.326472182,0.234863226,0.322241826,0.35281759,0.445354534,0.446284875,0.365093006,0.322138894,4.774352919,2.325569006,2.55428884,3.745528509,4.54422,2.81701,2.4807616,2.8471236,1.6902592,1.214362699,1.210221627,0.625183245,0.600564101,0.764303344,0.865100603,0.723241649,0.684811354,0.650078451
Annex_I,OECD_Europe,IRL,Ireland,2.B,Chemical Industry,CO2,fossil,201.195,222.9538668,212.4460534,235.8160101,241.2222934,246.2897667,84.57329999,68.42256333,57.07738667,401.7315971,541.4260293,516.9893948,796.622168,592.0582063,763.1619777,657.9490801,712.6625915,799.0035421,847.5443691,752.6628767,778.4267116,833.7021509,725.237919,676.1362883,854.1089869,761.3133839,704.9371767,858.4295549,844.1192784,739.8069686,749.5129761,803.9732821,745.076502,0.0111,0.0057,,,,,,,,,,,,,,
Annex_I,OECD_Europe,IRL,Ireland,2.C,Metal Industry,CO2,fossil,3.2,3.2,3.08,4.64,4.4,3.24,2.32,1.88,3.852,5.48,3.72,8.08,7.64,9.8,11.32,13.32,13.52,14,16.924,19.2,20.84,17.732,16.52,17.936,15.848,18.216,19.808,20.032,21.08,20.16,18.82,11.096,3.432,4.056,10.192,11.7,11.284,11.7,10.4,9.88,9.88,9.36,8.32,8.84,8.944,8.944,9.36,9.1,7.8
Annex_I,OECD_Europe,IRL,Ireland,2.D,Non-Energy Products from Fuels and Solvent Use,CO2,fossil,336.7333423,336.9663421,334.1123163,336.7854934,338.2532823,331.7537689,327.1658567,330.0162055,342.774283,349.2996634,338.5965439,344.394984,340.3150541,333.1484213,347.5610101,347.0968762,344.7410269,344.1484921,342.3211857,341.7294781,353.2107806,350.465918,351.2209899,347.3226952,349.6070242,362.5699034,355.7321395,348.0337599,347.7001729,340.3840708,374.4432349,323.1302998,311.6519974,307.7337662,312.5928273,357.180357,326.4063786,342.6698122,342.7061826,343.2696413,338.2992087,344.5203716,348.6382337,350.5722799,350.7097942,352.1547357,349.9004213,352.1114687,352.2351319
Annex_I,OECD_Europe,IRL,Ireland,3.C.2,Liming,CO2,fossil,177.89,186.609,195.756,204.801,213.054,222.027,231.048,240.288,249.045,258.343,266.443,274.65,283.736,293.901,301.744,311.13,319.403,329.048,336.676,345.811,355.036,315.14516,255.60084,357.2998,269.64124,494.5952,484.03344,423.4868,305.58044,383.22724,366.38316,385.28248,273.89956,386.76,240.79572,266.73372,254.85636,376.76672,262.20744,307.3224,427.93388,360.67856,229.3962,515.69276,391.0749568,401.14668,433.59888,332.74736,457.45172
