"Country Name","Country Code","Unit Name","Unit Code",Time Period,"Brent Crude  (POILBRE)","Coal index  (PCOAL)","Coal, Australia (PCOALAU)","Coal, South Africa  (PCOALSA)","Dubai Crude  (POILDUB)","Natural gas, EU (PNGASEU)","Rare Earth Elements (PREODOM)","WTI Crude  (POILWTI)",
"World","001","Percent Change over Previous Period","PC_PP_PT",2001,"-14.3230119206531","25.378846419425","23.0952380952381","27.4526408229833","-12.9944724215745","12.1406741882855",,"-14.5177171699138",
"World","001","Percent Change over Previous Period","PC_PP_PT",2002,"1.62392585751722","-19.9500947493222","-16.2553191489362","-23.1906882889977","4.17140288074701","-31.1596369411031",,"0.692380235489418",
"World","001","Percent Change over Previous Period","PC_PP_PT",2003,"14.5888622049047","9.60371503692083","3.30466027874565","15.6273027264281","12.7761024888306","30.753541957182",,"19.2391140534469",
"World","001","Percent Change over Previous Period","PC_PP_PT",2004,"32.8518849932737","91.551471370854","102.938475665748","81.8229047609152","25.9171426854247","7.70647237444338",,"33.0485290838911",
"World","001","Percent Change over Previous Period","PC_PP_PT",2005,"43.0257040190907","-13.2614818364547","-10.4241265980397","-15.9671148390504","46.2053337693417","57.5233022636485",,"36.328408061121",
"World","001","Percent Change over Previous Period","PC_PP_PT",2006,"19.9709712795215","6.8953578438771","3.76740965124628","10.0748408098736","24.6335883967655","38.8419273034658",,"17.0087884340823",
"World","001","Percent Change over Previous Period","PC_PP_PT",2007,"10.7432213060392","27.953223965162","32.9189690459895","23.1948969907223","11.4672488774883","-0.852359208523606",,"9.47398621440916",
"World","001","Percent Change over Previous Period","PC_PP_PT",2008,"33.9661292159081","95.3686674809481","96.9259171588786","93.7586805307269","36.2186065857425","61.3447958243783",,"37.6283852703095",
"World","001","Percent Change over Previous Period","PC_PP_PT",2009,"-36.7297302435623","-45.6550220976991","-44.8213518912553","-46.5310140083038","-34.4747415382831","-32.5975261655566",,"-38.0122072509213",
"World","001","Percent Change over Previous Period","PC_PP_PT",2010,"29.5967004447623","39.5647141988545","37.3414844285008","41.9755035908632","27.7629982253218","-7.14285714285715",,"28.6960554804654",
"World","001","Percent Change over Previous Period","PC_PP_PT",2011,"39.761192340872","25.293577249098","23.9089413536789","26.7460193463334","35.0469902350334","28.8740245261985",,"19.683493667306",
"World","001","Percent Change over Previous Period","PC_PP_PT",2012,"0.423569607740037","-20.8820107898134","-21.7305624277222","-20.0118293101148","3.30835014976255","13.0622837370242",,"-0.928106802323877",
"World","001","Percent Change over Previous Period","PC_PP_PT",2013,"-2.7228833809948","-12.3519401841681","-11.1479431057131","-13.5600973697836","-3.20215222380625","-6.60777630938305",,"4.00188301481782",
"World","001","Percent Change over Previous Period","PC_PP_PT",2014,"-8.82537389487676","-13.0301566280566","-15.9818704006746","-9.98559011096655","-8.60796575693382","-6.48692932151635","-13.632666414741","-4.93154168290795",
"World","001","Percent Change over Previous Period","PC_PP_PT",2015,"-46.6279385270936","-19.159205614343","-17.214583526154","-21.031384788851","-47.253283066954","-30.1847722204524","-3.2194987705835","-47.5884376627042",
"World","001","Percent Change over Previous Period","PC_PP_PT",2016,"-14.9815726122752","12.3027672238332","11.7864935867432","12.82383169298","-18.5389464612116","-40.4061145334246","-11.9305059235796","-11.3979414793462",
"World","001","Percent Change over Previous Period","PC_PP_PT",2017,"21.7569672223986","32.7389443631696","34.3259887186123","31.151900007727","28.1371031741285","31.9460489571233","-0.390949674451718","17.7257795911904",
"World","001","Percent Change over Previous Period","PC_PP_PT",2018,"30.472976245724","18.1200704003183","20.2815971526449","15.9062311945507","30.1688936633435","37.8137730069953","3.08065860508606","27.3195104594731",
"World","001","Percent Change over Previous Period","PC_PP_PT",2019,"-10.353093906091","-27.3206949469912","-27.4108750490742","-27.2248457268773","-8.68601567441651","-43.7240439824124","-3.57610722969801","-12.1551235959857",
"World","001","Percent Change over Previous Period","PC_PP_PT",2020,"-32.5001980084886","-16.7688140600711","-24.5884443531499","-8.47885267319627","-32.5425392458721","-28.6569813806623","-8.51732778879436","-30.8788872796544",
"World","001","Percent Change over Previous Period","PC_PP_PT",2021,"63.4553849153498","110.804023125031","132.296410595081","92.0295657914881","61.8537157943802","400.510167785931","104.651081937345","72.6751963431382",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1990,"30.0410352412013",,"4.38596491228074",,"30.4385709293133","28.0769139005653",,"24.9298964522586",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1991,"-15.3174281847242","-1.98308849972624","-1.25536433045799E-14","-4.18250950570342","-18.9503826281984","47.7887147020716",,"-12.3197122959891",
"World","001","Percent Change over Corresponding Period Previous Year","PC_CP_A_PT",1992,"-3.57220100768144","-5.41721328176259","-2.78361344537816","-8.46560846560847","3.53557400664012","-21.3632621871946",,"-4.22323659366977",
